site,site_dir,somsc_summary,biomass_summary,n2o_summary,somsc_result,biomass_result,n2o_result,n2o_summary_plot_count,n2o_year_summary_plot_count,biomass_livec_plot_count,biomass_livec_pngs,somsc_spinup_png,somsc_spinup_png_exists,somsc_exp_png,somsc_exp_png_exists,somsc_scatter_png,somsc_scatter_png_exists,biomass_scatter_png,biomass_scatter_png_exists,n2o_scatter_png,n2o_scatter_png_exists
Agegnehu_2015,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/n2o_check/n2o_check_summary.txt,RESULT: Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-88.32%).,RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,5,0,7,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/livec_out/Agegnehu_2015_TRT_B10_F_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/livec_out/Agegnehu_2015_TRT_B2_5_COM25_F_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/livec_out/Agegnehu_2015_TRT_COM25_F_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/livec_out/Agegnehu_2015_TRT_COMBI25_F_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/livec_out/Agegnehu_2015_TRT_F_CTRL_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/livec_out/Agegnehu_2015_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/livec_out/Agegnehu_2015_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/somsc_check/observed_vs_modeled_somsc.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Agegnehu_2015/n2o_check/observed_vs_modeled_n2o.png,True
Anandakumar_2022,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/n2o_check/n2o_check_summary.txt,RESULT: Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-49.10%).,RESULT: MODEL ONLY - No biomass/grain observations in the observation file.,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,4,0,6,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/livec_out/Anandakumar_2022_Control_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/livec_out/Anandakumar_2022_IC_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/livec_out/Anandakumar_2022_INM_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/livec_out/Anandakumar_2022_OM_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/livec_out/Anandakumar_2022_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/livec_out/Anandakumar_2022_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/somsc_check/observed_vs_modeled_somsc.png,False,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Anandakumar_2022/n2o_check/observed_vs_modeled_n2o.png,True
Aravindh_2023_Coimbatore,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/n2o_check/n2o_check_summary.txt,RESULT: Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-94.13%).,RESULT: MODEL ONLY - No biomass/grain observations in the observation file.,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,4,0,6,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/livec_out/Aravindh_2023_Coimbatore_C_1_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/livec_out/Aravindh_2023_Coimbatore_IC_1_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/livec_out/Aravindh_2023_Coimbatore_INM_1_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/livec_out/Aravindh_2023_Coimbatore_OM_1_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/livec_out/Aravindh_2023_Coimbatore_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/livec_out/Aravindh_2023_Coimbatore_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/somsc_check/observed_vs_modeled_somsc.png,False,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Coimbatore/n2o_check/observed_vs_modeled_n2o.png,True
Aravindh_2023_Kovilpatt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/n2o_check/n2o_check_summary.txt,RESULT: Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-97.61%).,RESULT: MODEL ONLY - No biomass/grain observations in the observation file.,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,4,0,6,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/livec_out/Aravindh_2023_Kovilpatt_C_3_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/livec_out/Aravindh_2023_Kovilpatt_IC_3_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/livec_out/Aravindh_2023_Kovilpatt_INM_3_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/livec_out/Aravindh_2023_Kovilpatt_OM_3_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/livec_out/Aravindh_2023_Kovilpatt_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/livec_out/Aravindh_2023_Kovilpatt_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/somsc_check/observed_vs_modeled_somsc.png,False,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aravindh_2023_Kovilpatt/n2o_check/observed_vs_modeled_n2o.png,True
Aulakh_2013,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/n2o_check/n2o_check_summary.txt,RESULT: Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-90.32%).,RESULT: MODEL ONLY - No biomass/grain observations in the observation file.,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,16,0,18,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T10_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T11_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T12_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T13_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T14_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T15_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T16_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T1_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T2_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T3_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T4_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T5_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T6_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T7_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T8_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_T9_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/livec_out/Aulakh_2013_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/somsc_check/observed_vs_modeled_somsc.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Aulakh_2013/n2o_check/observed_vs_modeled_n2o.png,True
Babu_2016,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/n2o_check/n2o_check_summary.txt,RESULT: Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-97.50%).,RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,9,0,11,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_CONTROL_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_FYM4_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_FYM5_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_GNS4_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_RDF100_ZN_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_RDF100_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_RDF50_FYM4_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_RDF50_GNS4_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_TRT_RDF50_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/livec_out/Babu_2016_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/somsc_check/observed_vs_modeled_somsc.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Babu_2016/n2o_check/observed_vs_modeled_n2o.png,True
Banerjee_2018,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/n2o_check/n2o_check_summary.txt,RESULT: Model NEEDS INVESTIGATION - Base SOMSC is below SoilGrids observation (-64.77%).,RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,4,0,6,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/livec_out/Banerjee_2018_T1_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/livec_out/Banerjee_2018_T2_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/livec_out/Banerjee_2018_T3_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/livec_out/Banerjee_2018_T4_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/livec_out/Banerjee_2018_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/livec_out/Banerjee_2018_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/somsc_check/observed_vs_modeled_somsc.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Banerjee_2018/n2o_check/observed_vs_modeled_n2o.png,True
Behera_2021,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - Base SOMSC meets or exceeds SoilGrids observation.,RESULT: MODEL ONLY - No biomass/grain observations in the observation file.,RESULT: MODEL ONLY - No N2O flux observations in the observation file.,20,0,22,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_CW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_GW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_MW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_PW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_R_CW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_R_GW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_R_MW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_R_PW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_R_SW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_CT_SW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_CW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_GW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_MW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_PW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_R_CW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_R_GW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_R_MW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_R_PW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_R_SW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_ZT_SW_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/livec_out/Behera_2021_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/somsc_check/observed_vs_modeled_somsc.png,False,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Behera_2021/n2o_check/observed_vs_modeled_n2o.png,True
Bhattacharya_2023,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - Base SOMSC meets or exceeds SoilGrids observation.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: NEEDS INVESTIGATION - One or more points overestimate observed N2O by more than 50% and/or invalid comparison rows (see Point-wise delta).,4,0,6,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/livec_out/Bhattacharya_2023_CT R+_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/livec_out/Bhattacharya_2023_CT R0_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/livec_out/Bhattacharya_2023_NT R+_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/livec_out/Bhattacharya_2023_NT R0_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/livec_out/Bhattacharya_2023_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/livec_out/Bhattacharya_2023_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/somsc_check/observed_vs_modeled_somsc.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/biomass_check/observed_vs_modeled_biomass.png,False,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharya_2023/n2o_check/observed_vs_modeled_n2o.png,True
Bhattacharyya_2018,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/somsc_check/somsc_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/biomass_check/biomass_check_summary.txt,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - Base SOMSC meets or exceeds SoilGrids observation.,RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).,RESULT: NEEDS INVESTIGATION - One or more points overestimate observed N2O by more than 50% and/or invalid comparison rows (see Point-wise delta).,3,0,5,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/biomass_check/livec_out/Bhattacharyya_2018_CT_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/biomass_check/livec_out/Bhattacharyya_2018_PNBB_R_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/biomass_check/livec_out/Bhattacharyya_2018_PNBB_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/biomass_check/livec_out/Bhattacharyya_2018_base_output_livec_plot.png;/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/biomass_check/livec_out/Bhattacharyya_2018_eq_output_livec_plot.png,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/somsc_check/somsc_timeseries_spinup.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/somsc_check/somsc_timeseries_exp.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/somsc_check/observed_vs_modeled_somsc.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/biomass_check/observed_vs_modeled_biomass.png,True,/Users/mac/Documents/Spinup_testing/daycent_sites2/sites/Bhattacharyya_2018/n2o_check/observed_vs_modeled_n2o.png,True
